"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"L3_R_BPM 16_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_BPM 16_Ag Espaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008612372729303,0,8.30173893516909E-05,0,0,0,0,0,0,0,0,0,0
"L3_R_BPM 16_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_BPM 16_DownTime",0.148548777606413,0.149217612076187,0.1533058808153,0.146415645613278,0.141071399584312,0.150310837236162,0.152480386984631,0.150050503919435,0.144370802654495,0.153179448506749,0.146217220507529,0.151624260766571,0.152805279204861,0.153463663704967,0.151855831579966,0.152687684097498,0.146706671160286,0.144733098029179,0.153680246686272,0.148849360503736,0.149592873898694,0.14804398389871,0.150849304882981,0.157818542679882,0.149356856034346,0.154532956632946,0.151778381035311,0.144632048882862,0.147929851270779,0.146085884265296
"L3_R_BPM 16_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_BPM 16_Ocioso",2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,1.76527023736083E-04,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,4.87080390430252E-04,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14
"L3_R_BPM 16_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_BPM 16_Produzindo",0.827701389454406,0.826387497180698,0.822193196141117,0.828768419466641,0.834102702256448,0.825373131131724,0.82319653936678,0.824564467570976,0.830744619675788,0.82224788766456,0.828207510392759,0.823996354193795,0.822485983151949,0.821507970286229,0.823189354103801,0.822651863347796,0.828685497853413,0.822056544573536,0.822532082315961,0.82655386903804,0.825716621610359,0.827589281343556,0.824549206593,0.818059291021011,0.826132552744363,0.821245377351135,0.823556958960631,0.830864853936413,0.826897413814864,0.82965740669912
"L3_R_BPM 16_Setup","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_BPM 16_Setup",2.82716752019457E-02,2.82827243520201E-02,2.91416246008855E-02,2.99938322245405E-02,2.87265048322323E-02,2.85639109714487E-02,2.87003424925849E-02,2.95498080636805E-02,2.86193291989493E-02,2.78945889985148E-02,2.95841596699003E-02,2.88694154375779E-02,2.84014643876646E-02,3.02582780847709E-02,2.92548432600504E-02,3.00528305988949E-02,2.97510320134636E-02,2.77180387784299E-02,2.84218857090189E-02,2.85553764325152E-02,2.97652419208496E-02,2.77778818361642E-02,2.98031025909317E-02,2.85960808161836E-02,2.89892032008956E-02,2.78626339632396E-02,2.78853576908078E-02,2.94709567743325E-02,2.98195517395718E-02,2.79614096193117E-02
"L3_R_Dosagem 03_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem 03_Ag Espaco",0.146883485178903,0.169411494491174,0.132030616257645,0.176557290548791,0.115309922499743,0.130469605215623,8.76382779931353E-02,3.86900500737581E-02,7.72276783094298E-02,0.14513551326414,0.205562001287677,1.97689715880308E-02,0.142047595988734,0.114857325768793,0.169733944481488,0.181465802322223,0.124124429719787,0.287340951014387,0.10714826874724,0.195106514098182,0.147661261173982,4.48431733907835E-02,0.140811691691802,0.113858449415884,0.176016170118896,0.19803638564451,1.63972915790877E-02,7.67264617071918E-02,4.51639928488825E-02,7.12203035954568E-02
"L3_R_Dosagem 03_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem 03_DownTime",0.18721520334061,0.1864157878918,0.186272305817805,0.186459968995269,0.186524327005893,0.186530679647645,0.187349546285699,0.187554630692417,0.187346190613073,0.186971534475154,0.185714274951865,0.18759026394849,0.187720013006762,0.187398460229482,0.185532113537,0.187603560953459,0.188106915576126,0.187252731163977,0.186504593409052,0.186740843743604,0.186850487528441,0.18581203243458,0.187621105120158,0.187005663179586,0.186969109003345,0.18650419874707,0.186307051129448,0.186612899388956,0.186406812903064,0.187490793079669
"L3_R_Dosagem 03_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem 03_Ocioso",0.424757764456596,0.402904184756786,0.440361591620145,0.396450264983103,0.457684470581935,0.442012905443897,0.484134216962489,0.531822440418656,0.495090117265764,0.427044419116823,0.368055163357073,0.551899988492658,0.430697154228665,0.457338805869521,0.402834128139208,0.388262395660959,0.445252058551732,0.28612730330719,0.465906075547787,0.378774286218534,0.424156971138255,0.528983313931656,0.430708231670371,0.459806304069813,0.39579099201496,0.373005438487162,0.557651103042215,0.493263847298127,0.52767229781048,0.49955911137616
"L3_R_Dosagem 03_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem 03_Produzindo",0.193351975322267,0.193674652779087,0.193412648982531,0.193355312617122,0.194105389354557,0.193108590075087,0.193002738792408,0.194060764570389,0.193571124169656,0.19299450900958,0.193494539471646,0.192707875752347,0.19236904800839,0.19402462026847,0.193789726310158,0.193712352580363,0.193492737544351,0.192068581271527,0.193036975649437,0.192861377191216,0.192374234498409,0.193794115058802,0.193044074757262,0.192165441607708,0.192977579201833,0.193082614355137,0.193013246534485,0.194817205970083,0.193299453912607,0.19444187776867
"L3_R_Dosagem 03_Setup","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem 03_Setup",0.058845625127623,5.80631708322497E-02,5.82357545068199E-02,5.76855513504066E-02,5.71538151364585E-02,5.91026665799557E-02,5.85752951172267E-02,5.84563326990805E-02,5.73796263398966E-02,5.81551554690787E-02,5.77721752641335E-02,5.87898550190683E-02,5.80807696459201E-02,0.057069192727446,5.92330444095024E-02,6.00545089528796E-02,6.03659881474946E-02,5.80130502494531E-02,5.82729642469868E-02,5.66506360623219E-02,6.05888391406716E-02,5.69740770075123E-02,5.86611609385999E-02,5.76795201645348E-02,5.93320378712995E-02,6.05384076853554E-02,5.72977240818443E-02,5.94033164514692E-02,5.84135099682032E-02,5.81365506270148E-02
"L3_R_Dosagem Extra_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem Extra_Ag Espaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3_R_Dosagem Extra_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem Extra_DownTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3_R_Dosagem Extra_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem Extra_Ocioso",0.84979788881301,0.843824641184811,0.845542873875154,0.841873334443615,0.849577589794307,0.839923336597335,0.840499182901953,0.843937174776431,0.854889408178229,0.851880487132776,0.835056491604919,0.849671318228933,0.836443497978767,0.841239836476245,0.85439437262294,0.84045256478423,0.848605099158685,0.835294378839892,0.836797034458685,0.830722240332003,0.838070732418175,0.851013629732609,0.857194998405067,0.842849940335506,0.838459284162233,0.843363858733969,0.857200614197158,0.836565409308687,0.855175713728713,0.848565829019788
"L3_R_Dosagem Extra_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem Extra_Produzindo",9.66042728569743E-02,0.118622785520878,0.116454661877334,0.119849786127791,0.097400771334694,0.117396776203253,0.11660717613977,0.118098999621114,9.46602639252425E-02,9.35307145745459E-02,0.120616218668302,9.69021927129921E-02,0.119259392187626,0.11852453479158,9.49975976239118E-02,0.116181775953066,9.47049984467594E-02,0.116845318537952,0.119523633729057,0.118230377562283,0.116642091327714,9.67030977453503E-02,9.59357672859345E-02,0.119239129566957,0.116436164651306,0.118616858266175,9.34742199870471E-02,0.115774989111285,9.34461956927957E-02,9.38664452834283E-02
"L3_R_Dosagem Extra_Setup","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Dosagem Extra_Setup",5.35978383300178E-02,3.75525732943112E-02,3.80024642475119E-02,3.82768794285935E-02,0.053021638870999,0.042679887199413,4.28936409582785E-02,0.037963825602454,5.04503278965288E-02,5.45887982926769E-02,4.43272897267796E-02,5.34264890580746E-02,4.42971098336076E-02,4.02356287321759E-02,5.06080297531483E-02,4.33656592627048E-02,5.66899023945567E-02,4.78603026221565E-02,4.36793318122582E-02,5.10473821057136E-02,4.52871762541102E-02,5.22832725220401E-02,4.68692343089995E-02,3.79109300975379E-02,4.51045511864605E-02,3.80192829998578E-02,4.93251658157958E-02,4.76596015800298E-02,5.13780905784913E-02,5.75677256967832E-02
"L3_R_Montagem Final 03_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Montagem Final 03_DownTime",0.179380376787465,0.176795369318793,0.162824582139411,0.173620643446273,0.158268253135576,0.164128666436006,0.155893499714031,0.139003312417277,0.154904821579491,0.161395178153938,0.175403034358875,0.14196654082518,0.177538971340527,0.140081518992354,0.164090035205436,0.161832153517324,0.150549470485403,0.200762649770943,0.158513481812173,0.162160310412384,0.174155845692054,0.154977164575575,0.15946016939348,0.179241468608276,0.165815867313837,0.182156290725479,0.143491553360418,0.142929338411233,0.159511934089988,0.158928979927287
"L3_R_Montagem Final 03_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Montagem Final 03_Ocioso",5.17394754887602E-02,5.08853933154824E-02,6.90657234973274E-02,0.057398997020939,7.24677102501041E-02,6.64215401634927E-02,7.39949262506084E-02,9.21191559081989E-02,7.34570620276598E-02,6.86394667765022E-02,5.56630224118879E-02,9.03892112182424E-02,5.58849216214981E-02,8.78134316762947E-02,6.50261844235865E-02,6.74217283271815E-02,7.96075414028885E-02,3.94416589540581E-02,7.14149019807031E-02,6.90073490877727E-02,5.90785673809778E-02,7.62154962803274E-02,7.26888362984021E-02,5.41917296101165E-02,6.55442068932273E-02,4.84170325307863E-02,9.01094508246404E-02,8.31261813278902E-02,7.11758846519713E-02,6.87749485598978E-02
"L3_R_Montagem Final 03_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Montagem Final 03_Produzindo",0.728983643493321,0.731345217343574,0.729150847300704,0.728977793901642,0.72918420609348,0.72919655103247,0.730293277270878,0.728625945787547,0.73131960982723,0.729457112294932,0.728921707106791,0.728534847862644,0.727061178289343,0.732539221023291,0.730363101824043,0.730727701207615,0.72932471483632,0.720586110230302,0.729909086645574,0.729838333977965,0.726021684748008,0.728515716593884,0.729695301974939,0.726186051582888,0.728577837211471,0.729274827109576,0.725534683352851,0.733477611688979,0.728882665200019,0.732620692489911
"L3_R_Montagem Final 03_Setup","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Montagem Final 03_Setup",4.25184689961894E-02,4.34309872253506E-02,4.22750559361661E-02,4.57038693766628E-02,5.40821611137102E-02,4.57417331351784E-02,5.00514195711394E-02,0.043605465780453,5.21579096466992E-02,4.34862193656392E-02,4.49446312677061E-02,4.26189300153466E-02,4.95794524033733E-02,4.59063518449076E-02,4.49357849333675E-02,4.65717503722187E-02,4.31127413861976E-02,4.65779246697269E-02,4.75507018754665E-02,5.51805153802787E-02,4.81689148217627E-02,4.48484734901748E-02,4.85705063027728E-02,5.10321398701471E-02,0.04832487821818,5.22956672323447E-02,4.58413614968118E-02,4.82446168214743E-02,4.27392825637259E-02,4.96570707478193E-02
"L3_R_Vacuo 03_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo 03_Ag Espaco",0.269140070105417,0.280187443429526,0.247706597567509,0.277803143813107,0.218057389708672,0.236076229899667,0.212668102981898,0.142448526976725,0.213571500617209,0.248182695529438,0.325293303782489,0.120957778169866,0.253969751049669,0.202781473790709,0.27024533723956,0.29845270869592,0.218486380795785,0.363274957631687,0.224031473206151,0.256895689695461,0.295153553037125,0.144916009293612,0.246534463426716,0.225459408122117,0.294261927805087,0.331101702818126,0.119547411960088,0.199641330683483,0.185158682982361,0.197906138625754
"L3_R_Vacuo 03_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo 03_DownTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3_R_Vacuo 03_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo 03_Ocioso",0.331570012076981,0.320353321818465,0.352884546636496,0.323168886823184,0.381399884559238,0.364850861262559,0.388925653403122,0.457579252694493,0.386404194109753,0.352755072854595,0.275836872009471,0.481373581751274,0.347905035186376,0.396714778489317,0.329188128945137,0.301661356027462,0.382486509592569,0.240707011976884,0.376998884319127,0.34480209780035,0.307316701455915,0.455452141843495,0.355053445083083,0.3762225364387,0.307499136485181,0.270454417149663,0.482421673821759,0.39853884547075,0.415098295789831,0.401119821472482
"L3_R_Vacuo 03_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo 03_Produzindo",0.399289917817603,0.399459234752009,0.399408855795994,0.399027969363709,0.400542725732091,0.399072908837774,0.398406243614979,0.399972220328781,0.400024305273038,0.399062231615967,0.398869824208039,0.397668640078861,0.398125213763955,0.400503747719975,0.400566533815303,0.399885935276618,0.399027109611647,0.396018030391429,0.398969642474722,0.39830221250419,0.397529745506961,0.399631848862893,0.398412091490201,0.398318055439185,0.398238935709732,0.398443880032211,0.398030914218153,0.401819823845768,0.399743021227808,0.400974039901764
"L3_R_Vacuo Extra_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo Extra_Ag Espaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3_R_Vacuo Extra_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo Extra_DownTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3_R_Vacuo Extra_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo Extra_Ocioso",0.650506783394397,0.665577682253234,0.672004245791313,0.661181245413542,0.649030613657733,0.667366532158515,0.670013829414309,0.666935927206507,0.662174594201283,0.661105724689623,0.660222344921064,0.650342106314596,0.663823670266272,0.665426322484398,0.658066151520376,0.672270728005891,0.661567316049724,0.6731622696088,0.686900451005696,0.668350690447322,0.670623237333868,0.653720460912437,0.655768613257058,0.689759250806168,0.672863611122569,0.664166239452883,0.660901985006329,0.675853911122214,0.661644009267866,0.658206159710528
"L3_R_Vacuo Extra_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L3_R_Vacuo Extra_Produzindo",0.349493216605604,0.334422317746765,0.327995754208686,0.338818754586456,0.350969386342267,0.332633467841487,0.329986170585691,0.333064072793493,0.337825405798716,0.338894275310375,0.339777655078935,0.349657893685403,0.336176329733729,0.334573677515602,0.341933848479623,0.327729271994109,0.338432683950276,0.3268377303912,0.313099548994304,0.331649309552677,0.329376762666134,0.346279539087563,0.344231386742942,0.310240749193832,0.327136388877432,0.335833760547117,0.33909801499367,0.324146088877785,0.338355990732134,0.341793840289472
"L3_SemProduzir","DSTAT AVERAGE","Time Persistent","User Specified","L3_SemProduzir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4_CapacitoresPorHora","DSTAT AVERAGE","Time Persistent","User Specified","L4_CapacitoresPorHora",1673.87959090176,1661.28870796073,1655.99562821917,1663.92803635291,1665.00720884317,1686.3941732591,1641.83887197524,1648.83509451367,1649.1014954217,1643.36585670087,1681.58927777996,1655.03606045259,1688.95454038913,1640.08576263374,1674.24945360104,1635.76110040414,1723.91280773237,1663.05300116652,1637.94224147082,1683.56034599862,1679.62201685655,1704.87734285986,1719.11754084147,1591.95798378475,1637.45143889817,1689.23369632739,1623.53526826435,1636.19282210311,1672.76484568095,1695.93458435305
"L4_CapacitoresProduzidosAcumulado","DSTAT AVERAGE","Time Persistent","User Specified","L4_CapacitoresProduzidosAcumulado",832788.999836039,823267.897957619,823788.201498319,832259.711425793,826619.87263433,835227.125542427,817971.552918435,820733.172582197,815050.358549629,819334.666252481,840819.343400528,833811.948513138,842844.160064315,821627.582837342,833618.107538772,820076.235157258,852413.989241834,823485.320345226,813369.386633337,837974.474733505,835364.610486281,842601.705667207,849110.674227443,796415.280183786,817948.565798018,836627.075618583,822396.879024757,813331.564650163,828950.983268093,840410.454986608
"L4_Ociosidade_BPMs","DSTAT AVERAGE","Time Persistent","User Specified","L4_Ociosidade_BPMs",0.223108449641565,0.229020482790233,0.236272004437997,0.222234788537404,0.228950297215604,0.223564049847538,0.225030700589943,0.228811372958105,0.227347784420081,0.226376073674726,0.212184819542083,0.215482224727522,0.222112723214525,0.229589412314212,0.224308718918099,0.234202111586296,0.220298355652592,0.23361565653407,0.237988751055583,0.226525464624025,0.226843074562776,0.223984478201278,0.212843084616575,0.244452125752552,0.232466766365396,0.229879732675705,0.228052123378132,0.23615418790966,0.234368379387921,0.2148690351271
"L4_Ociosidade_Dosagem","DSTAT AVERAGE","Time Persistent","User Specified","L4_Ociosidade_Dosagem",0.535664181147509,0.623320679094864,0.622760358299666,0.622514850926578,0.539347740435863,0.620297297686644,0.619874146841841,0.623022454748779,0.538316359567547,0.533092868654143,0.617399198125096,0.534056566872787,0.620360904388077,0.624715194908471,0.533330054418926,0.62255463603844,0.535552092037154,0.621954328318059,0.60349799740518,0.619039589906656,0.617137402345908,0.538004033132329,0.530613476910885,0.601927813482699,0.624128937185101,0.622146401462454,0.535102448115755,0.623799450332903,0.53885041469716,0.52895228132169
"L4_Ociosidade_MF","DSTAT AVERAGE","Time Persistent","User Specified","L4_Ociosidade_MF",9.2375893772147E-03,7.32260817179942E-03,7.73238951237276E-03,6.59693551460727E-03,8.44588327962205E-03,6.88337108854575E-03,7.51606247308145E-03,6.32901214199988E-03,8.78779778649265E-03,8.27300695667644E-03,7.3935174248011E-03,8.54913519543001E-03,6.8255180602087E-03,7.30756218427087E-03,7.44647202181333E-03,7.16104938672679E-03,8.35678451014274E-03,6.02596413440049E-03,7.1902700765115E-03,7.73573470299616E-03,5.16585963240579E-03,4.74331743153199E-03,8.76564837075811E-03,7.61735079064385E-03,7.8000885293158E-03,5.40961512330684E-03,9.11598846279533E-03,7.21300115976897E-03,7.05005807934877E-03,9.58355881821407E-03
"L4_R_BPM 07_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 07_Ag Espaco",0.208183841319428,0.233137385145732,0.234542054766947,0.235232620106383,0.208433514350913,0.234623082070932,0.229661427227619,0.231257472978539,0.209816243538606,0.209338126933615,0.22647172818051,0.200589347461781,0.233821577803865,0.238900845201959,0.214855076205293,0.240576437114402,0.207081257931501,0.234258429026685,0.239790208444065,0.233433289171807,0.225547819781225,0.197860885372291,0.198708280595621,0.245067351016121,0.233245700950573,0.2387485999527,0.218162299633314,0.24647070480741,0.219853418119557,0.204331089365212
"L4_R_BPM 07_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 07_DownTime",0.224140279732226,0.225553936321512,0.216376843764553,0.218793459947526,0.219474757878749,0.217106690910616,0.222202347059575,0.221251160917141,0.217831172910286,0.220992272727349,0.212893835989201,0.227303857864631,0.212700078251471,0.222326169028152,0.216453143204884,0.21957461635425,0.212954761521538,0.215499644314833,0.2252921682672,0.215477200035998,0.217356489985289,0.215928892364399,0.212692674972404,0.217049715664207,0.21979265334173,0.211280106575351,0.212931913517623,0.221225213524406,0.216066045941593,0.213748560270836
"L4_R_BPM 07_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 07_Ocioso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32191278708266E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4_R_BPM 07_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 07_Produzindo",0.562001532894025,0.535378499824709,0.54321463801102,0.540284393848766,0.566508361842404,0.542623720700627,0.542531750664716,0.541555392920282,0.566837178346939,0.564079622143664,0.554622792768098,0.566482992255897,0.547769212879277,0.533002296151621,0.562575897547293,0.534021642430238,0.574405706189458,0.544501255616468,0.529205482737943,0.545049357423874,0.551675975176022,0.580325093568199,0.582662751793186,0.531955837491291,0.541313643203756,0.543947025053582,0.563072784819504,0.526625278265381,0.558561856885865,0.576008066551344
"L4_R_BPM 07_Setup","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 07_Setup",0.007688607575232,7.21315404690688E-03,7.15124116758443E-03,7.33997475648058E-03,6.71458766352396E-03,7.65619535736463E-03,6.75633316053167E-03,6.99992859603256E-03,7.18333997722056E-03,8.44524981328044E-03,7.44598245193519E-03,7.22042325812685E-03,7.31418015691369E-03,7.3724069005106E-03,8.81138676420291E-03,7.23951701388057E-03,6.56450351730196E-03,7.60851152166008E-03,7.21049315613493E-03,7.97477413543389E-03,6.14857314679216E-03,7.14567585826867E-03,7.74460589313988E-03,7.20088601797904E-03,8.21560789611097E-03,8.46292276727677E-03,7.68377745707451E-03,8.08072904817542E-03,6.79672676125855E-03,7.60728145480054E-03
"L4_R_BPM 08_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 08_Ag Espaco",0.23947033870755,0.200458898940567,0.215762505311848,0.192810392126703,0.252642678577176,0.196888033815686,0.205535377949447,0.206987948791259,0.244618451646278,0.255759545079584,0.187643617909952,0.238035879187754,0.197449909918404,0.201999838680317,0.241897321106755,0.209277058734258,0.234760181148818,0.208148033924826,0.215283382560121,0.197701624754544,0.202096296771587,0.253840519672012,0.228875460438426,0.221926075317592,0.216247834767463,0.202465034556312,0.238526554887527,0.203336717445856,0.26266715773291,0.237808107286799
"L4_R_BPM 08_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 08_DownTime",0.177910002305259,0.176025537355383,0.183919859312192,0.174945661363285,0.173647900835632,0.175262801079253,0.184127527596416,0.185397791644239,0.180437734279105,0.177109201853978,0.176428826952864,0.179849039344652,0.180903641618463,0.178529954463289,0.172424998934779,0.176951490986741,0.177457746300854,0.17181509300571,0.174961871476515,0.180662824575482,0.171825064923778,0.170142458257992,0.178102022393374,0.174627387545718,0.179336501212156,0.171936029994461,0.181044364700611,0.182929563933292,0.176539374423519,0.174689919879393
"L4_R_BPM 08_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 08_Ocioso",2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.16302331301248E-04,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.63190405591998E-04,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,2.89768209427166E-14,5.78702229117222E-14,2.89768209427166E-14
"L4_R_BPM 08_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 08_Produzindo",0.572617881447334,0.613513868698752,0.590013294724406,0.62189122596371,0.563165217209532,0.617778234899151,0.600404006866076,0.597571904811527,0.564485424915385,0.556855176876573,0.625516026553788,0.572094750764936,0.610963935460571,0.609197377703438,0.575338080562184,0.604058047469503,0.578035647111626,0.610189576989406,0.599951608413802,0.61170441107952,0.615363338307336,0.565801493388775,0.582694349193338,0.59296904708361,0.594549186554795,0.615421818919016,0.570893700977462,0.603502392742565,0.550831252582617,0.576650850182013
"L4_R_BPM 08_Setup","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 08_Setup",1.12646443900726E-02,0.011789047703394,1.36569118959668E-02,1.21283694470834E-02,1.28584978514196E-02,1.15858969195566E-02,0.012567114243133,0.014130820848714,1.21457929336564E-02,1.32708491617725E-02,1.20216928058591E-02,0.012704455478771,0.012858575091695,1.23328108781946E-02,1.20285569705453E-02,1.16727510247572E-02,1.19861147895012E-02,1.17913578553934E-02,1.27338218118717E-02,1.17364418938839E-02,1.40790019002983E-02,1.19701057434369E-02,1.17238921681971E-02,1.21083397661834E-02,1.19952961948161E-02,1.24451785757565E-02,1.15259732098596E-02,1.27992466123434E-02,1.21914853564763E-02,1.37328552860614E-02
"L4_R_BPM 14 Extra_Ag Espaco","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 14 Extra_Ag Espaco",0.223056754403873,0.254965497262363,0.25977216794579,0.239823361820195,0.22738892083712,0.240261303633756,0.241440141896438,0.249492172075175,0.229531320118712,0.215720540537316,0.223884361835993,0.209655998656758,0.236207943892386,0.248990835561703,0.216835861030972,0.254009661052536,0.220866622379381,0.259747377923697,0.26035682165094,0.249054495411227,0.254180150605591,0.22202553208889,0.212667261188192,0.26751842713151,0.249402376775597,0.249409401163796,0.228875333472749,0.260283206757014,0.222150746783155,0.204320992376142
"L4_R_BPM 14 Extra_DownTime","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 14 Extra_DownTime",0.178452348739394,0.176955022690293,0.181865180271138,0.178850223554669,0.178814204819274,0.182629235349391,0.176918100395191,0.175965765464514,0.180340821267429,0.178793640040192,0.181418017082009,0.17575021031751,0.175744436543709,0.180329808327503,0.184074092731402,0.181427374606487,0.184919856204594,0.177775045561904,0.176075950728904,0.171018609011758,0.171752382692973,0.180221062500195,0.183182858066446,0.177076208591389,0.17391947820732,0.178032650609525,0.17614409206969,0.176002360387466,0.1748463087919,0.181029805612428
"L4_R_BPM 14 Extra_Ocioso","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 14 Extra_Ocioso",8.68144187087496E-14,5.78426195829707E-14,5.78426195829707E-14,1.15737943318628E-13,5.78426195829707E-14,5.78426195829707E-14,1.4467320528572E-13,8.68010871043968E-14,5.78426195829707E-14,5.78426195829707E-14,8.68147585584649E-14,8.68192612051312E-14,5.78426195829707E-14,8.6806913096947E-14,9.35958057395172E-06,8.68039681710614E-14,8.67751921695497E-14,8.68098072530578E-14,5.78426195829707E-14,2.87444200063541E-04,1.1573167215947E-13,5.78426195829707E-14,1.15717940577668E-13,5.78426195829707E-14,5.78426195829707E-14,8.00287513295285E-05,5.78426195829707E-14,8.67910248168492E-14,8.67999549068958E-14,8.67355599683446E-14
"L4_R_BPM 14 Extra_Produzindo","DSTAT AVERAGE","Time Persistent","User Specified","L4_R_BPM 14 Extra_Produzindo",0.549317531847546,0.521971599398309,0.513711335419571,0.533337444192163,0.542907938796349,0.525302311281458,0.533713112303183,0.52511337269811,0.541522737853765,0.557741812332707,0.544389845986183,0.567863178568077,0.539206448032387,0.522975752262475,0.55276520863703,0.517876490314172,0.544788212066755,0.51251070431256,0.513548208443385,0.532965269388303,0.526519792596871,0.547816617225061,0.553658390263892,0.509074239145842,0.527422798437987,0.524334781116826,0.54671185452335,0.51722905458086,0.553001324767178,0.561512903997092
